# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
74            	smoothSolver	4.306640e-04	3.891450e-05	7	9.702880e-03	7.258510e-04	7	8.916470e-03	8.831790e-04	6	false	GAMG	3.797000e-03	1.787050e-05	4	true
75            	smoothSolver	4.211430e-04	3.744590e-05	7	9.641150e-03	7.210020e-04	7	8.814310e-03	8.782620e-04	6	false	GAMG	3.731110e-03	1.776150e-05	4	true
76            	smoothSolver	4.089340e-04	3.581900e-05	7	9.510560e-03	7.054980e-04	7	8.619010e-03	6.371700e-04	7	false	GAMG	3.651440e-03	1.790400e-05	4	true
77            	smoothSolver	3.954730e-04	3.441540e-05	7	9.293330e-03	9.260410e-04	6	8.351060e-03	6.158200e-04	7	false	GAMG	3.573040e-03	1.719330e-05	4	true
78            	smoothSolver	3.828410e-04	3.347750e-05	7	9.024230e-03	9.001190e-04	6	8.048090e-03	8.014850e-04	6	false	GAMG	3.486970e-03	1.599520e-05	4	true
79            	smoothSolver	3.705110e-04	3.294460e-05	7	8.742820e-03	6.446200e-04	7	7.729240e-03	5.785070e-04	7	false	GAMG	3.413540e-03	1.597920e-05	4	true
80            	smoothSolver	3.588290e-04	3.251450e-05	7	8.395320e-03	6.256050e-04	7	7.404860e-03	5.611020e-04	7	false	GAMG	3.321420e-03	1.544900e-05	4	true
81            	smoothSolver	3.483110e-04	3.203120e-05	7	8.060080e-03	6.083940e-04	7	7.074460e-03	5.407000e-04	7	false	GAMG	3.233840e-03	1.507800e-05	4	true
82            	smoothSolver	3.394650e-04	3.143660e-05	7	7.760270e-03	5.934560e-04	7	6.796090e-03	5.222880e-04	7	false	GAMG	3.130210e-03	1.455000e-05	4	true
83            	smoothSolver	3.310080e-04	3.083460e-05	7	7.483510e-03	5.785590e-04	7	6.536880e-03	5.049710e-04	7	false	GAMG	3.040090e-03	1.422170e-05	4	true
84            	smoothSolver	3.226200e-04	3.013930e-05	7	7.266390e-03	5.664740e-04	7	6.317690e-03	4.921620e-04	7	false	GAMG	2.953840e-03	1.361440e-05	4	true
85            	smoothSolver	3.139760e-04	2.927070e-05	7	7.117000e-03	5.555070e-04	7	6.168780e-03	4.868090e-04	7	false	GAMG	2.883000e-03	1.300650e-05	4	true
86            	smoothSolver	3.057010e-04	2.831310e-05	7	6.972230e-03	5.462430e-04	7	6.064020e-03	4.839080e-04	7	false	GAMG	2.821360e-03	1.231630e-05	4	true
87            	smoothSolver	2.974630e-04	2.732410e-05	7	6.815550e-03	5.347610e-04	7	5.974610e-03	4.786460e-04	7	false	GAMG	2.779840e-03	1.164010e-05	4	true
88            	smoothSolver	2.889670e-04	2.653760e-05	7	6.630430e-03	5.197540e-04	7	5.857780e-03	4.674630e-04	7	false	GAMG	2.741530e-03	1.126610e-05	4	true
89            	smoothSolver	2.801710e-04	2.608270e-05	7	6.435850e-03	5.052400e-04	7	5.694240e-03	4.522460e-04	7	false	GAMG	2.711310e-03	1.124270e-05	4	true
90            	smoothSolver	2.717230e-04	2.582110e-05	7	6.255450e-03	4.915190e-04	7	5.537680e-03	4.381570e-04	7	false	GAMG	2.677650e-03	1.140620e-05	4	true
91            	smoothSolver	2.655860e-04	2.556450e-05	7	6.111380e-03	4.772060e-04	7	5.402500e-03	4.228950e-04	7	false	GAMG	2.641670e-03	1.156070e-05	4	true
92            	smoothSolver	2.616880e-04	2.513800e-05	7	5.957980e-03	4.595990e-04	7	5.276270e-03	4.079300e-04	7	false	GAMG	2.597250e-03	1.144760e-05	4	true
93            	smoothSolver	2.589010e-04	2.445420e-05	7	5.808730e-03	4.423840e-04	7	5.147830e-03	3.920610e-04	7	false	GAMG	2.561620e-03	1.112390e-05	4	true
94            	smoothSolver	2.554320e-04	2.362900e-05	7	5.661790e-03	4.247980e-04	7	5.004010e-03	3.771540e-04	7	false	GAMG	2.539080e-03	1.067580e-05	4	true
95            	smoothSolver	2.525890e-04	2.298140e-05	7	5.566740e-03	4.107360e-04	7	4.898610e-03	3.659820e-04	7	false	GAMG	2.531630e-03	1.044970e-05	4	true
96            	smoothSolver	2.486110e-04	2.248050e-05	7	5.513260e-03	5.491430e-04	6	4.841250e-03	3.571840e-04	7	false	GAMG	2.530810e-03	1.045160e-05	4	true
97            	smoothSolver	2.440650e-04	2.194940e-05	7	5.494100e-03	5.406090e-04	6	4.802920e-03	4.765060e-04	6	false	GAMG	2.530700e-03	1.029050e-05	4	true
98            	smoothSolver	2.400760e-04	2.135670e-05	7	5.461850e-03	5.321780e-04	6	4.790870e-03	4.730800e-04	6	false	GAMG	2.525950e-03	1.045700e-05	4	true
99            	smoothSolver	2.353260e-04	2.069240e-05	7	5.422590e-03	5.228020e-04	6	4.755620e-03	4.691050e-04	6	false	GAMG	2.506400e-03	1.053830e-05	4	true
100           	smoothSolver	2.304140e-04	2.002590e-05	7	5.368040e-03	5.132920e-04	6	4.702390e-03	4.615310e-04	6	false	GAMG	2.473500e-03	1.043510e-05	4	true
101           	smoothSolver	2.256780e-04	1.941580e-05	7	5.276970e-03	4.978620e-04	6	4.617250e-03	4.503870e-04	6	false	GAMG	2.442430e-03	1.015430e-05	4	true
102           	smoothSolver	2.210960e-04	1.886260e-05	7	5.165070e-03	4.812570e-04	6	4.532310e-03	4.362850e-04	6	false	GAMG	2.414040e-03	9.751300e-06	4	true
