# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
5121            	-1.85530682e-02	-4.86590057e-02	3.01059376e-02	7.87649433e-01	4.00842505e-01	3.86806928e-01	7.01778811e-03	-3.93824717e-02	-9.27653409e-04	5.46429851e-21	-9.27653409e-04	9.27653409e-04
5122            	-1.85598594e-02	-4.86635875e-02	3.01037280e-02	7.87673155e-01	4.00859954e-01	3.86813201e-01	7.02337681e-03	-3.93836577e-02	-9.27992972e-04	5.46465052e-21	-9.27992972e-04	9.27992972e-04
5123            	-1.85666341e-02	-4.86681537e-02	3.01015196e-02	7.87696732e-01	4.00877330e-01	3.86819403e-01	7.02896345e-03	-3.93848366e-02	-9.28331706e-04	5.46500409e-21	-9.28331706e-04	9.28331706e-04
5124            	-1.85733941e-02	-4.86727041e-02	3.00993100e-02	7.87720141e-01	4.00894622e-01	3.86825518e-01	7.03455200e-03	-3.93860070e-02	-9.28669705e-04	5.46535883e-21	-9.28669705e-04	9.28669705e-04
5125            	-1.85801403e-02	-4.86772385e-02	3.00970982e-02	7.87743367e-01	4.00911828e-01	3.86831538e-01	7.04014491e-03	-3.93871683e-02	-9.29007016e-04	5.46571441e-21	-9.29007016e-04	9.29007016e-04
5126            	-1.85868729e-02	-4.86817569e-02	3.00948840e-02	7.87766409e-01	4.00928947e-01	3.86837461e-01	7.04574286e-03	-3.93883204e-02	-9.29343644e-04	5.46607053e-21	-9.29343644e-04	9.29343644e-04
5127            	-1.85935910e-02	-4.86862593e-02	3.00926683e-02	7.87789276e-01	4.00945983e-01	3.86843293e-01	7.05134489e-03	-3.93894638e-02	-9.29679549e-04	5.46642697e-21	-9.29679549e-04	9.29679549e-04
5128            	-1.86002932e-02	-4.86907457e-02	3.00904525e-02	7.87811982e-01	4.00962940e-01	3.86849042e-01	7.05694880e-03	-3.93905991e-02	-9.30014659e-04	5.46678358e-21	-9.30014659e-04	9.30014659e-04
5129            	-1.86069777e-02	-4.86952160e-02	3.00882383e-02	7.87834544e-01	4.00979823e-01	3.86854720e-01	7.06255168e-03	-3.93917272e-02	-9.30348887e-04	5.46714031e-21	-9.30348887e-04	9.30348887e-04
5130            	-1.86136428e-02	-4.86996701e-02	3.00860273e-02	7.87856974e-01	4.00996638e-01	3.86860336e-01	7.06815057e-03	-3.93928487e-02	-9.30682141e-04	5.46749715e-21	-9.30682141e-04	9.30682141e-04
5131            	-1.86202869e-02	-4.87041076e-02	3.00838207e-02	7.87879283e-01	4.01013384e-01	3.86865899e-01	7.07374298e-03	-3.93939641e-02	-9.31014343e-04	5.46785419e-21	-9.31014343e-04	9.31014343e-04
5132            	-1.86269087e-02	-4.87085281e-02	3.00816193e-02	7.87901474e-01	4.01030064e-01	3.86871410e-01	7.07932722e-03	-3.93950737e-02	-9.31345437e-04	5.46821154e-21	-9.31345437e-04	9.31345437e-04
5133            	-1.86335077e-02	-4.87129311e-02	3.00794234e-02	7.87923546e-01	4.01046675e-01	3.86876870e-01	7.08490249e-03	-3.93961773e-02	-9.31675385e-04	5.46856937e-21	-9.31675385e-04	9.31675385e-04
5134            	-1.86400833e-02	-4.87173164e-02	3.00772331e-02	7.87945495e-01	4.01063216e-01	3.86882279e-01	7.09046860e-03	-3.93972748e-02	-9.32004163e-04	5.46892786e-21	-9.32004163e-04	9.32004163e-04
5135            	-1.86466350e-02	-4.87216834e-02	3.00750484e-02	7.87967318e-01	4.01079685e-01	3.86887634e-01	7.09602559e-03	-3.93983659e-02	-9.32331752e-04	5.46928716e-21	-9.32331752e-04	9.32331752e-04
5136            	-1.86531623e-02	-4.87260318e-02	3.00728695e-02	7.87989013e-01	4.01096079e-01	3.86892933e-01	7.10157321e-03	-3.93994506e-02	-9.32658117e-04	5.46964744e-21	-9.32658117e-04	9.32658117e-04
5137            	-1.86596641e-02	-4.87303610e-02	3.00706970e-02	7.88010580e-01	4.01112400e-01	3.86898180e-01	7.10711048e-03	-3.94005290e-02	-9.32983204e-04	5.47000880e-21	-9.32983204e-04	9.32983204e-04
5138            	-1.86661385e-02	-4.87346706e-02	3.00685321e-02	7.88032027e-01	4.01128649e-01	3.86903378e-01	7.11263544e-03	-3.94016013e-02	-9.33306927e-04	5.47037133e-21	-9.33306927e-04	9.33306927e-04
5139            	-1.86724988e-02	-4.87388959e-02	3.00663971e-02	7.88052930e-01	4.01144532e-01	3.86908397e-01	7.11806745e-03	-3.94026465e-02	-9.33624938e-04	5.47071471e-21	-9.33624938e-04	9.33624938e-04
5140            	-1.86788624e-02	-4.87431308e-02	3.00642684e-02	7.88073993e-01	4.01160512e-01	3.86913480e-01	7.12351600e-03	-3.94036996e-02	-9.33943119e-04	5.47106703e-21	-9.33943119e-04	9.33943119e-04
5141            	-1.86852249e-02	-4.87473738e-02	3.00621488e-02	7.88095226e-01	4.01176587e-01	3.86918639e-01	7.12897439e-03	-3.94047613e-02	-9.34261247e-04	5.47142870e-21	-9.34261247e-04	9.34261247e-04
5142            	-1.86915750e-02	-4.87516160e-02	3.00600410e-02	7.88116571e-01	4.01192714e-01	3.86923857e-01	7.13442841e-03	-3.94058285e-02	-9.34578749e-04	5.47179834e-21	-9.34578749e-04	9.34578749e-04
5143            	-1.86978988e-02	-4.87558460e-02	3.00579472e-02	7.88137932e-01	4.01208828e-01	3.86929104e-01	7.13986199e-03	-3.94068966e-02	-9.34894938e-04	5.47217372e-21	-9.34894938e-04	9.34894938e-04
5144            	-1.87041842e-02	-4.87600528e-02	3.00558686e-02	7.88159214e-01	4.01224869e-01	3.86934345e-01	7.14526204e-03	-3.94079607e-02	-9.35209211e-04	5.47255250e-21	-9.35209211e-04	9.35209211e-04
5145            	-1.87104233e-02	-4.87642289e-02	3.00538057e-02	7.88180346e-01	4.01240794e-01	3.86939552e-01	7.15062113e-03	-3.94090173e-02	-9.35521163e-04	5.47293276e-21	-9.35521163e-04	9.35521163e-04
5146            	-1.87165244e-02	-4.87682993e-02	3.00517749e-02	7.88200742e-01	4.01256213e-01	3.86944529e-01	7.15584205e-03	-3.94100371e-02	-9.35826220e-04	5.47330444e-21	-9.35826220e-04	9.35826220e-04
5147            	-1.87226268e-02	-4.87723758e-02	3.00497489e-02	7.88221247e-01	4.01271702e-01	3.86949545e-01	7.16107870e-03	-3.94110624e-02	-9.36131342e-04	5.47368018e-21	-9.36131342e-04	9.36131342e-04
5148            	-1.87287284e-02	-4.87764592e-02	3.00477308e-02	7.88241900e-01	4.01287281e-01	3.86954619e-01	7.16633078e-03	-3.94120950e-02	-9.36436421e-04	5.47406107e-21	-9.36436421e-04	9.36436421e-04
