# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
64              	7.04127480e-02	2.77310819e-02	4.26816661e-02	1.49505842e-01	5.14966250e-02	9.80092173e-02	-2.32562962e-02	-7.47529212e-03	3.52063740e-03	-1.36111864e-20	3.52063740e-03	-3.52063740e-03
65              	7.12385924e-02	2.79547886e-02	4.32838038e-02	1.53290151e-01	5.28926029e-02	1.00397548e-01	-2.37524727e-02	-7.66450756e-03	3.56192962e-03	-1.35595982e-20	3.56192962e-03	-3.56192962e-03
66              	7.19843701e-02	2.81579447e-02	4.38264254e-02	1.56684806e-01	5.41837842e-02	1.02501022e-01	-2.41586188e-02	-7.83424030e-03	3.59921851e-03	-1.34976301e-20	3.59921851e-03	-3.59921851e-03
67              	7.27910385e-02	2.83843779e-02	4.44066606e-02	1.60222827e-01	5.55475214e-02	1.04675306e-01	-2.45638923e-02	-8.01114137e-03	3.63955193e-03	-1.34249720e-20	3.63955193e-03	-3.63955193e-03
68              	7.36837454e-02	2.86396784e-02	4.50440671e-02	1.64043887e-01	5.70352607e-02	1.07008626e-01	-2.49866827e-02	-8.20219434e-03	3.68418727e-03	-1.33353772e-20	3.68418727e-03	-3.68418727e-03
69              	7.46225158e-02	2.89159505e-02	4.57065652e-02	1.67906147e-01	5.85742828e-02	1.09331864e-01	-2.53787906e-02	-8.39530734e-03	3.73112579e-03	-1.32362347e-20	3.73112579e-03	-3.73112579e-03
70              	7.54108025e-02	2.91457868e-02	4.62650157e-02	1.71192290e-01	5.99592710e-02	1.11233019e-01	-2.56368738e-02	-8.55961448e-03	3.77054012e-03	-1.31405401e-20	3.77054012e-03	-3.77054012e-03
71              	7.62400770e-02	2.93842096e-02	4.68558674e-02	1.74716578e-01	6.14235776e-02	1.13293000e-01	-2.59347113e-02	-8.73582889e-03	3.81200385e-03	-1.30331671e-20	3.81200385e-03	-3.81200385e-03
72              	7.68497063e-02	2.95466336e-02	4.73030727e-02	1.77564391e-01	6.26656159e-02	1.14898775e-01	-2.61165798e-02	-8.87821957e-03	3.84248531e-03	-1.29471573e-20	3.84248531e-03	-3.84248531e-03
73              	7.72193851e-02	2.96290236e-02	4.75903615e-02	1.79613378e-01	6.36249750e-02	1.15988403e-01	-2.61817141e-02	-8.98066892e-03	3.86096926e-03	-1.28847657e-20	3.86096926e-03	-3.86096926e-03
